location,month,total_cases,new_cases,total_deaths,new_deaths,case_fatality_rate
Afghanistan,02,6.0,1.0,0.0,0.0,0.0
Afghanistan,03,1164.0,174.0,27.0,4.0,0.023195876288659795
Afghanistan,04,27074.0,1952.0,890.0,60.0,0.03287286695722834
Afghanistan,05,225674.0,13081.0,5007.0,194.0,0.02218687132766734
Afghanistan,06,750944.0,16299.0,15016.0,494.0,0.01999616482720416
Afghanistan,07,1077247.0,5158.0,33518.0,532.0,0.031114498346247424
Afghanistan,08,1163297.0,1494.0,42101.0,119.0,0.03619110167051063
Afghanistan,09,1163868.0,1109.0,42987.0,57.0,0.036934600831022076
Afghanistan,10,1245948.0,2157.0,46287.0,78.0,0.0371500255227345
Afghanistan,11,1308111.0,4849.0,49133.0,257.0,0.037560268203539304
Afghanistan,12,1522209.0,5252.0,62357.0,396.0,0.040964808380452356
Africa,02,23.0,3.0,0.0,0.0,0.0
Africa,03,41307.0,5778.0,1255.0,200.0,0.03038225966543201
Africa,04,590658.0,32972.0,28114.0,1434.0,0.04759776384980818
Africa,05,2646734.0,107806.0,86018.0,2588.0,0.03249967696035945
Africa,06,7891288.0,258342.0,210019.0,5924.0,0.026614033095737982
Africa,07,20679069.0,523179.0,453270.0,9536.0,0.021919265320890412
Africa,08,34466759.0,324155.0,787128.0,10130.0,0.022837308259822168
Africa,09,41152839.0,229700.0,992660.0,6051.0,0.02412130059848362
Africa,10,50495086.0,303539.0,1218154.0,6990.0,0.02412420883885612
Africa,11,59462318.0,388849.0,1428226.0,9139.0,0.024019009820639686
Africa,12,75832446.0,586136.0,1796945.0,13476.0,0.023696255294204806
Albania,02,0.0,0.0,0.0,0.0,
Albania,03,2232.0,243.0,91.0,15.0,0.04077060931899642
Albania,04,15632.0,530.0,728.0,16.0,0.0465711361310133
Albania,05,28873.0,364.0,975.0,2.0,0.03376857271499325
Albania,06,50880.0,1398.0,1221.0,29.0,0.023997641509433964
Albania,07,119660.0,2741.0,3302.0,95.0,0.027594852080895873
Albania,08,230278.0,4237.0,6945.0,127.0,0.030159198881352104
Albania,09,350148.0,4136.0,10286.0,103.0,0.029376149513919828
Albania,10,523084.0,7226.0,13731.0,122.0,0.026250086028247854
Albania,11,866248.0,17307.0,19239.0,301.0,0.02220957508704205
Albania,12,1540509.0,20134.0,31857.0,371.0,0.020679528649297084
Algeria,02,5.0,1.0,0.0,0.0,0.0
Algeria,03,4823.0,715.0,324.0,44.0,0.06717810491395397
Algeria,04,69497.0,3290.0,9197.0,406.0,0.13233664762507735
Algeria,05,211394.0,5388.0,16901.0,203.0,0.07995023510601058
Algeria,06,337819.0,4513.0,23600.0,259.0,0.06985989538776682
Algeria,07,674286.0,16487.0,32720.0,298.0,0.048525403167202046
Algeria,08,1185076.0,14100.0,42428.0,300.0,0.03580192325217961
Algeria,09,1458290.0,7036.0,48964.0,226.0,0.033576311981841744
Algeria,10,1683631.0,6412.0,57192.0,228.0,0.033969438671537885
Algeria,11,2074384.0,25257.0,65248.0,467.0,0.03145415699311217
Algeria,12,2884170.0,16411.0,81232.0,325.0,0.02816477530797422
Andorra,03,2787.0,376.0,39.0,12.0,0.013993541442411194
Andorra,04,19106.0,369.0,917.0,30.0,0.0479953941170313
Andorra,05,23498.0,19.0,1518.0,9.0,0.0646012426589497
Andorra,06,25511.0,91.0,1545.0,1.0,0.06056211046215358
Andorra,07,27174.0,70.0,1612.0,0.0,0.059321410171487454
Andorra,08,31382.0,251.0,1632.0,1.0,0.05200433369447454
Andorra,09,45275.0,874.0,1590.0,0.0,0.035118718939812256
Andorra,10,103067.0,2706.0,1895.0,22.0,0.018386098363200636
Andorra,11,174907.0,1989.0,2266.0,1.0,0.01295545632822014
Andorra,12,230115.0,1304.0,2478.0,8.0,0.010768528779088717
Angola,03,48.0,7.0,6.0,2.0,0.125
Angola,04,601.0,20.0,60.0,0.0,0.09983361064891846
Angola,05,1639.0,59.0,85.0,2.0,0.05186089078706528
Angola,06,4660.0,198.0,210.0,9.0,0.045064377682403435
Angola,07,20049.0,864.0,915.0,39.0,0.04563818644321412
Angola,08,59160.0,1506.0,2627.0,56.0,0.04440500338066261
Angola,09,111469.0,2318.0,4268.0,75.0,0.03828867218688604
Angola,10,233349.0,5833.0,7325.0,101.0,0.03139074947824932
Angola,11,404417.0,4334.0,9636.0,64.0,0.02382689155005848
Angola,12,508018.0,2414.0,11686.0,57.0,0.023003121936624293
Antigua and Barbuda,03,61.0,7.0,0.0,0.0,0.0
Antigua and Barbuda,04,617.0,17.0,62.0,3.0,0.10048622366288493
Antigua and Barbuda,05,776.0,2.0,93.0,0.0,0.11984536082474227
Antigua and Barbuda,06,1026.0,43.0,90.0,0.0,0.08771929824561403
Antigua and Barbuda,07,2366.0,22.0,93.0,0.0,0.03930684699915469
Antigua and Barbuda,08,2881.0,3.0,93.0,0.0,0.032280458174245054
Antigua and Barbuda,09,2886.0,7.0,90.0,0.0,0.031185031185031187
Antigua and Barbuda,10,3586.0,27.0,93.0,0.0,0.025934188510875627
Antigua and Barbuda,11,4047.0,13.0,107.0,1.0,0.026439337781072398
Antigua and Barbuda,12,4656.0,18.0,143.0,1.0,0.030713058419243985
Argentina,01,0.0,0.0,0.0,0.0,
Argentina,02,0.0,0.0,0.0,0.0,
Argentina,03,6529.0,1054.0,158.0,27.0,0.024199724306938276
Argentina,04,77576.0,3374.0,3482.0,191.0,0.04488501598432505
Argentina,05,275556.0,12423.0,11562.0,321.0,0.04195880329225275
Argentina,06,1091252.0,47679.0,26775.0,768.0,0.02453603750554409
Argentina,07,3728771.0,126772.0,69223.0,2236.0,0.018564561889158653
Argentina,08,9244163.0,226433.0,183974.0,5117.0,0.0199016395535215
Argentina,09,17545982.0,333266.0,371729.0,8277.0,0.02118599004604017
Argentina,10,29922509.0,415923.0,795200.0,14065.0,0.026575311582327538
Argentina,11,39307295.0,257609.0,1062692.0,7728.0,0.02703549048592634
Argentina,12,47136788.0,200981.0,1278031.0,4515.0,0.02711323902680853
Armenia,03,4099.0,532.0,12.0,3.0,0.002927543303244694
Armenia,04,36511.0,1534.0,527.0,29.0,0.014434006189915367
Armenia,05,151445.0,7216.0,2012.0,99.0,0.013285351117567434
